"Run","Run ID","metric","step","timestamp","value"
"wistful-snake-870","257c45bcf03849ffb5b23ebdc3363a89","train_loss","50","1776637602870","0.3251972010907005"
"wistful-snake-870","257c45bcf03849ffb5b23ebdc3363a89","train_loss","51","1776637625360","0.32098212136941795"
"wistful-snake-870","257c45bcf03849ffb5b23ebdc3363a89","train_loss","52","1776637650627","0.3198018628008225"
"wistful-snake-870","257c45bcf03849ffb5b23ebdc3363a89","train_loss","53","1776637673102","0.32291026658871597"
"wistful-snake-870","257c45bcf03849ffb5b23ebdc3363a89","train_loss","54","1776637695950","0.3138023264267865"
"wistful-snake-870","257c45bcf03849ffb5b23ebdc3363a89","train_loss","55","1776638001654","0.3229988610043245"
"wistful-snake-870","257c45bcf03849ffb5b23ebdc3363a89","train_loss","56","1776638024421","0.32305385575574985"
"wistful-snake-870","257c45bcf03849ffb5b23ebdc3363a89","train_loss","57","1776638046949","0.31275327065411734"
"wistful-snake-870","257c45bcf03849ffb5b23ebdc3363a89","train_loss","58","1776638069483","0.3173714420374702"
"wistful-snake-870","257c45bcf03849ffb5b23ebdc3363a89","train_loss","59","1776638091940","0.31428457007688637"
"wistful-snake-870","257c45bcf03849ffb5b23ebdc3363a89","train_loss","60","1776638397638","0.3153375516919529"
"wistful-snake-870","257c45bcf03849ffb5b23ebdc3363a89","train_loss","61","1776638420157","0.31435195873765387"
"wistful-snake-870","257c45bcf03849ffb5b23ebdc3363a89","train_loss","62","1776638442647","0.31176337775062113"
"wistful-snake-870","257c45bcf03849ffb5b23ebdc3363a89","train_loss","63","1776638465116","0.32108349677394415"
"wistful-snake-870","257c45bcf03849ffb5b23ebdc3363a89","train_loss","64","1776638487873","0.3169893208672019"
"wistful-snake-870","257c45bcf03849ffb5b23ebdc3363a89","train_loss","65","1776638793916","0.32016664638238795"
"wistful-snake-870","257c45bcf03849ffb5b23ebdc3363a89","train_loss","66","1776638817008","0.3103934510665781"
"wistful-snake-870","257c45bcf03849ffb5b23ebdc3363a89","train_loss","67","1776638839866","0.318310670466984"
"wistful-snake-870","257c45bcf03849ffb5b23ebdc3363a89","train_loss","68","1776638862438","0.31128149979254777"
"wistful-snake-870","257c45bcf03849ffb5b23ebdc3363a89","train_loss","69","1776638884976","0.30900162423358246"
"wistful-snake-870","257c45bcf03849ffb5b23ebdc3363a89","train_loss","70","1776639191030","0.31410319121444924"
"wistful-snake-870","257c45bcf03849ffb5b23ebdc3363a89","train_loss","71","1776639213491","0.3054708561476539"
"wistful-snake-870","257c45bcf03849ffb5b23ebdc3363a89","train_loss","72","1776639236287","0.30895583927631376"
"wistful-snake-870","257c45bcf03849ffb5b23ebdc3363a89","train_loss","73","1776639259121","0.31547671100672553"
"wistful-snake-870","257c45bcf03849ffb5b23ebdc3363a89","train_loss","74","1776639281945","0.3035736573093078"
"wistful-snake-870","257c45bcf03849ffb5b23ebdc3363a89","train_loss","75","1776639590610","0.30765341607963337"
"wistful-snake-870","257c45bcf03849ffb5b23ebdc3363a89","train_loss","76","1776639613196","0.30319192321861493"
"wistful-snake-870","257c45bcf03849ffb5b23ebdc3363a89","train_loss","77","1776639635866","0.31356046129675474"
"wistful-snake-870","257c45bcf03849ffb5b23ebdc3363a89","train_loss","78","1776639658446","0.3139126668958103"
"wistful-snake-870","257c45bcf03849ffb5b23ebdc3363a89","train_loss","79","1776639680900","0.310992094874382"
"wistful-snake-870","257c45bcf03849ffb5b23ebdc3363a89","train_loss","80","1776639986812","0.3107300723300261"
